time,ncells,lon,lat,O3,CO,NO,NO2,SO2,PM1,PM2.5,PM10,StationName
2024-02-06 05:00:00,11,151.117809,-33.76526,2.0145855,0.09118144,0.16094765,0.32814273,0.00477696,1.0780758,2.025861,16.714516,Bargo
2024-02-06 05:00:00,12,151.759634,-32.931176,,,,,,,,,Bargo
2024-02-06 05:00:00,13,150.498009,-34.051688,2.0068316,0.060068272,0.0049658716,0.018977199,5.6007193e-05,0.32847714,0.6147622,4.2481875,Bargo
2024-02-06 05:00:00,14,150.997812,-33.799489,2.0984614,0.09234078,0.17546788,0.31237215,0.008233691,1.0274338,1.900689,14.217302,Bargo
2024-02-06 05:00:00,15,150.914185,-33.794246,2.1385565,0.099244244,0.14499205,0.32733026,0.021607377,1.1826583,1.9573828,12.227085,Bargo
2024-02-06 05:00:00,16,151.242802,-33.931776,2.0540068,0.07074734,0.08536043,0.11774478,0.032003842,0.9808344,2.0058854,22.296383,Bargo
2024-02-06 05:00:00,17,150.747347,-33.616436,2.2403646,0.08277462,0.050773546,0.21383266,0.027402056,0.85226536,1.323096,5.538915,Bargo
2024-02-06 05:00:00,18,151.163933,-33.864353,1.8376092,0.09487077,0.3376264,0.4201571,0.01761636,1.2730999,2.4288049,22.077515,Bargo
2024-02-06 05:00:00,19,150.766799,-33.795155,2.1697497,0.08793305,0.12362456,0.24975674,0.03440926,1.012273,1.5724539,7.9932733,Bargo
2024-02-06 05:00:00,20,150.887328,-34.417064,1.7012602,0.15335882,0.17821163,0.34438685,0.12152016,1.1341128,2.120362,19.150183,Bargo
2024-02-06 05:00:00,21,151.432414,-33.278966,2.1303504,0.072452776,0.023355998,0.07257785,0.0018180552,0.8560507,1.7112259,16.768427,Bargo
2024-02-06 06:00:00,0,150.782544,-34.577839,1.9385915,0.051142342,0.0554716,0.04945634,0.0004821877,1.9873799,3.574981,24.50228,Bargo
2024-02-06 06:00:00,1,150.580539,-34.306187,1.8475661,0.05229514,0.03701138,0.03675557,0.00014345165,0.528816,1.2870476,11.574786,Bargo
2024-02-06 06:00:00,2,149.57333,-33.40333,,,,,,,,,Bargo
2024-02-06 06:00:00,3,150.761939,-33.917658,2.0029173,0.06955748,0.037970174,0.12543188,0.038781196,1.0825795,1.8273578,12.097601,Bargo
2024-02-06 06:00:00,4,150.690141,-34.041702,2.0116088,0.058178093,0.029215459,0.07877795,0.028867014,0.76838815,1.5502553,12.915639,Bargo
2024-02-06 06:00:00,5,150.795546,-34.066648,1.8854417,0.0917725,0.16040422,0.23888592,0.04654692,1.0858939,1.9628983,14.81954,Bargo
2024-02-06 06:00:00,6,151.046062,-33.891572,1.7788181,0.078602605,0.19787747,0.30610046,0.0027415687,1.1091607,2.1666923,19.909233,Bargo
2024-02-06 06:00:00,7,151.135792,-33.916185,1.7005594,0.084536426,0.30653557,0.38880008,0.015990945,1.150982,2.3353813,23.023413,Bargo
2024-02-06 06:00:00,8,150.81916,-34.47442,1.9206567,0.055054404,0.07537223,0.08128696,0.0008364806,1.01432,2.3051798,22.846703,Bargo
2024-02-06 06:00:00,9,151.046778,-33.881407,1.7674887,0.08098926,0.21805117,0.33062792,0.0030088283,1.1128128,2.165692,19.760714,Bargo
2024-02-06 06:00:00,10,150.90731,-33.931338,1.7721988,0.08440742,0.19728777,0.31803635,0.02161382,1.028355,1.9413501,16.522242,Bargo
2024-02-06 06:00:00,11,151.117809,-33.76526,1.5962603,0.08977712,0.16829236,0.50040287,0.0073483023,1.1186054,2.1425452,20.509296,Bargo
2024-02-06 06:00:00,12,151.759634,-32.931176,,,,,,,,,Bargo
2024-02-06 06:00:00,13,150.498009,-34.051688,1.9185653,0.05437124,0.0062835417,0.014285959,4.5443747e-05,0.43764982,0.9932343,8.547134,Bargo
2024-02-06 06:00:00,14,150.997812,-33.799489,1.8444293,0.08450948,0.16577731,0.3387258,0.004044667,1.0201669,1.9557384,16.436443,Bargo
2024-02-06 06:00:00,15,150.914185,-33.794246,1.858557,0.08258536,0.14312996,0.32356852,0.0138610015,1.1201165,1.9941717,15.102616,Bargo
2024-02-06 06:00:00,16,151.242802,-33.931776,1.9261357,0.06274153,0.085904084,0.118068375,0.028770963,1.0569736,2.2573135,25.375435,Bargo
