Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S4100,6.876364,6.557102,0.341749,-8.774688,10.228227,2.340502
S4101,6.149859,5.881652,0.551784,-7.154445,9.60347,2.116837
S4102,5.053978,4.813722,0.727705,-4.132275,7.086026,1.664791
S4103,4.094714,3.803534,0.733205,-2.371506,6.295671,1.331047
S4104,2.982591,2.736521,0.754582,-0.928204,4.332898,0.837816
S4105,2.893065,2.096583,0.316741,-0.75747,7.995728,1.228405
S4106,3.395315,2.325434,-0.077842,-0.771236,7.644187,2868863143729200.0
S4107,3.536352,2.850329,-0.42075,-0.966662,7.30118,2740132777400398.0
S4108,3.632131,2.938271,-0.683257,-1.080748,6.973089,2617000085168443.0
S4109,3.521303,2.93579,-0.75153,-0.926647,6.805219,2553998479381219.0
S4110,3.218445,2.598528,-0.642276,-0.655375,5.92651,2224219018967294.0
S4111,3.258252,2.494721,-0.245384,-0.513193,6.644371,4337711374066152.0
S4112,3.622269,2.786611,0.065556,-0.894097,6.828665,4981242246530170.0
S4113,4.060465,3.151623,0.2103,-1.2236,7.308048,4945985103777361.0
S4114,4.603346,3.788397,0.080101,-2.057498,7.262275,6949042328023664.0
S4115,5.052199,4.280583,-0.004029,-2.80225,7.305621,9668326516609080.0
S4116,5.383726,4.705931,-0.303186,-4.302313,7.738161,1.042227007698751e+16
S4117,5.128252,4.419881,-0.619518,-3.866488,7.579801,1.0110645077031478e+16
S4118,4.559269,3.875566,-0.575637,-3.036515,7.361555,6982616925955688.0
S4119,4.193115,3.84005,-0.357462,-2.210549,6.21744,6096664678959705.0
S4120,3.882296,3.613773,-0.120454,-1.616358,5.97438,5892546119018550.0
S4121,3.583986,3.268408,0.287456,-1.366673,6.068919,5486396642743509.0
S4122,3.446316,3.128367,0.743173,-1.288855,4.904537,5067661744719789.0
S4123,2.781042,2.459518,0.823216,-0.370721,4.34361,3152586542553822.0
S4124,2.56644,1.972147,0.698128,0.293718,5.945256,2658567746779119.5
S4125,2.246109,1.534216,0.79508,0.467061,5.222713,1994938059778084.8
S4126,2.119722,1.521913,0.841755,0.415384,5.485264,784939284573832.4
S4127,2.166288,1.729268,0.884875,0.119125,5.224799,0.281929
S4128,2.430159,2.050249,0.694046,-0.247037,5.948802,0.359772
S4129,2.724024,2.319366,0.38709,-0.784085,6.20478,0.408925
S4130,2.811774,2.406193,0.213658,-1.105985,5.843097,0.41428
S4131,3.065462,2.513918,-0.297679,-1.607276,7.386765,0.420402
S4132,3.158583,2.412225,-0.603205,-1.787637,7.644904,0.368455
S4133,2.875336,2.217454,-0.449333,-1.335469,6.393797,0.357548
S4134,2.688797,2.077217,-0.450742,-1.054399,6.507905,0.345626
S4135,2.244859,1.767069,-0.011839,-0.432012,5.389076,0.28518
S4136,1.143223,0.877743,0.591213,0.321916,2.599484,0.184467
S4137,1.545403,1.20971,0.73131,-0.351214,3.873636,0.298391
S4138,1.997029,1.55815,0.339713,-1.289103,3.867798,0.384364
S4139,2.381287,1.970227,-0.072074,-1.85879,4.49198,0.493172
S4140,2.143558,1.615991,-0.519798,-2.385473,4.32272,0.366403
S4141,2.245392,1.941663,-0.620557,-2.497867,4.305676,0.423392
S4142,2.400243,2.193211,-0.787753,-2.76359,4.186695,0.475745
S4143,2.45257,2.24688,-0.746895,-2.966727,3.622517,0.497656
S4144,2.381231,2.103613,-0.590308,-4.665934,3.628634,0.485832
S4145,2.366555,2.071801,-0.427577,-3.320141,3.855757,0.477282
S4146,2.781469,2.307651,-0.044004,-0.395181,6.155126,0.458783
S4147,4.198259,3.005756,0.096015,-0.000735,11.786831,0.463137
S4148,5.858065,3.829,0.286587,0.007486,15.45248,0.442879
S4149,6.944074,4.511712,0.554711,-0.073474,14.695651,0.38134
S4150,7.715809,5.374166,0.750261,-0.191893,14.133745,0.387782
S4151,8.283117,5.994644,0.865273,-0.42357,14.295661,0.370283
S4152,8.790709,6.752549,0.921698,-0.679309,15.155409,0.401787
S4153,9.265753,7.591841,0.896792,-1.140516,15.174917,0.454956
S4154,9.570992,8.107091,0.740136,-1.689031,15.100939,0.497959
S4155,9.929145,8.531012,0.368722,-2.421319,16.669198,0.535665
S4156,10.402328,9.171922,-0.159984,-4.006816,17.212547,0.572511
S4157,10.496986,9.300701,-0.38073,-2.19421,16.716666,1987306259849543.2
S4158,10.453468,9.369234,-0.61473,-2.06357,15.850184,2524366295032996.5
S4159,8.895954,7.947086,-0.109781,-1.279503,13.016748,3144743899102723.5
S4160,6.270315,5.427337,0.587501,-0.192966,9.09622,3293558593389740.0
S4161,4.986909,4.147596,0.621358,0.258119,10.609488,3981740516949312.5
S4162,5.601453,4.447463,0.578026,0.121044,12.335059,4629347259666091.0
S4163,6.486376,5.156499,0.611078,-0.207291,12.531321,4703004382171673.0
S4164,7.367918,6.242782,0.464801,-0.724151,13.178101,4945740896087564.0
S4165,8.057114,7.011387,-0.050498,-1.343107,14.084464,5285898901842764.0
S4166,7.964248,7.096341,0.322003,-1.314748,12.046387,4521008667030067.0
S4167,7.739861,7.020719,-0.298821,-1.138701,11.386021,4273173327736054.5
S4168,7.301688,6.951201,-0.022496,-1.05173,10.776563,3323502276712190.0
S4169,6.395838,5.626389,-0.350486,-0.746643,11.808689,1.50343
S4170,5.076141,4.496551,0.208128,-0.482294,8.437663,1.342028
S4171,4.962101,4.33879,0.666707,-0.263284,8.070464,1.33118
S4172,4.728652,4.134929,0.818037,0.048054,8.188435,1.252236
S4173,3.903464,3.500629,0.970666,0.365359,6.017831,0.890769
S4174,3.815283,3.417143,0.90412,0.283258,6.138906,0.386144
S4175,4.436852,3.641223,0.876385,-0.25249,7.58166,0.291145
S4176,5.280173,4.682514,0.785084,-1.31677,8.461053,0.386317
S4177,5.798721,5.199755,0.567216,-2.524369,9.161246,0.428355
S4178,6.423332,5.859436,0.04716,-6.406657,9.825678,0.471573
S4179,6.447751,5.838561,-0.229967,-6.991168,10.050525,0.455195
S4180,6.624944,6.059678,-0.687859,-9.240689,9.282835,0.451546
S4181,6.626903,6.061802,-0.643827,-7.752655,10.228493,0.436788
S4182,5.41661,4.904849,0.225867,-4.292054,8.721647,0.363164
S4183,3.989604,3.388994,0.665358,-0.856805,7.166115,0.259186
S4184,3.673235,2.943898,0.681831,0.161368,6.955573,0.573956
S4185,3.733901,2.724525,0.347271,0.093481,8.294907,0.686276
S4186,3.949733,2.933117,-0.122287,-0.070297,9.615249,0.780356
S4187,4.02471,3.062693,-0.204547,-0.048947,9.624943,0.791902
S4188,4.076044,3.261275,0.007555,-0.007889,9.392265,0.788961
S4189,4.55686,3.725196,0.161124,-0.041507,8.716235,0.769189
S4190,4.836062,4.034483,0.042715,-0.159858,9.229787,0.806673
S4191,4.707057,4.097843,0.181502,-0.036788,8.571005,0.794798
S4192,4.460471,3.701442,0.269107,0.046362,8.927351,0.793216
S4193,4.272729,3.553618,0.236045,0.006956,8.955195,0.814962
S4194,4.463725,3.775234,-0.221697,-0.049151,9.489381,0.856737
S4195,4.85247,4.149393,0.241799,-0.049428,9.014428,0.73159
S4196,5.996164,4.947748,0.279509,-0.913442,11.423855,0.327573
S4197,7.28706,6.119195,0.300767,-1.581385,11.659214,0.376213
S4198,7.8415,6.638702,0.38684,-1.657752,11.505286,0.385515
S4199,8.07462,6.844107,0.481792,-1.549428,11.876547,0.379799
S4200,8.138178,6.937007,0.557504,-1.45531,11.865733,0.375344
S4201,7.993891,6.942246,-0.013505,-1.233766,11.614727,0.385444
S4202,8.181982,7.460538,-0.516063,-1.331106,10.573715,0.42479
S4203,8.891467,8.209666,-0.312403,-2.51088,12.204899,0.428479
S4204,9.947683,9.345309,0.364116,-5.651165,12.80809,0.457953
S4205,10.472092,10.208242,0.427209,-16.03548,12.914034,0.505193
