Segment,1D-CNN,ANN,CNN-LSTM,GRU,Selected
S192,0.17660014698116575,0.3838818252003714,0.15539455914985123,0.28412346866861027,ANN
S193,0.05527996609377535,0.5523983020555053,0.09436775087627963,0.29795398097443665,ANN
S194,0.06626398700186856,0.17005999184521375,0.07471788076808833,0.6889581403848294,GRU
S195,0.2597627942654881,0.3601745741119876,0.1893894185618901,0.19067321306063423,ANN
S196,0.2360097015093114,0.39830450004401846,0.11255973087356849,0.2531260675731051,ANN
S197,0.13427149756512316,0.43805217314930334,0.22756008613012238,0.2001162431554477,ANN
S198,0.18379026704953003,0.16156452359659107,0.11498696799001194,0.5396582413638658,GRU
S199,0.22290778219004637,0.19085815245998966,0.23292437740170074,0.3533096879482704,GRU
S200,0.27444611426844595,0.23690968573321275,0.21035492585588944,0.2782892741424554,GRU
S201,0.25284293917223094,0.21238472056766594,0.212354104264561,0.3224182359955468,GRU
S202,0.21061884232245515,0.30048289902330483,0.2643644550359219,0.22453380361832168,ANN
S203,0.18120921214524427,0.23171792376274078,0.45744662873933817,0.1296262353526762,CNN-LSTM
S204,0.14621384349347744,0.2895991524502583,0.14242891096717505,0.4217580930890858,GRU
S205,0.29280001411989803,0.2355573269287822,0.18785769324387772,0.2837849657074429,1D-CNN
S206,0.28845411263411647,0.2454132600409304,0.22141731649824326,0.24471531082670828,1D-CNN
S207,0.24736797958241463,0.3237487035586092,0.23320796584305276,0.1956753510159222,ANN
S208,0.05994032288985344,0.6813584565035398,0.09845278788725847,0.16024843271934422,ANN
S209,0.20423698396041318,0.1570528546879148,0.3213117785409705,0.31739838281070254,CNN-LSTM
S210,0.35875632007336844,0.38587822493784996,0.10089638034849976,0.15446907464027843,ANN
S211,0.3120879787117284,0.1321866745120202,0.42535229804019237,0.1303730487360568,CNN-LSTM
S212,0.12337911124252113,0.5410385716253333,0.2790422465023553,0.05654007062978974,ANN
S213,0.13768137533900476,0.0758954726052966,0.13605722779001242,0.650365924265687,GRU
