Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S85,0.3702060453723675,0.28507296697109363,0.22239802165667616,0.12232296599986225,1D-CNN
S86,0.44715118182214647,0.17309517445999137,0.21316030951088366,0.16659333420697864,1D-CNN
S87,0.26939402924013567,0.2980645613091516,0.33598936075220687,0.09655204869850598,BiLSTM
S88,0.22326978111010862,0.28733923732641586,0.41759449699056983,0.07179648457290592,BiLSTM
S89,0.151059829498318,0.15443009572243901,0.635720761886016,0.05878931289322683,BiLSTM
S90,0.1341796289122636,0.14871021654069486,0.6720744262859,0.04503572826114132,BiLSTM
S91,0.3142429359757936,0.34165080783714424,0.26851736353006656,0.07558889265699562,ANN
S92,0.25855578544854085,0.26206377053640795,0.39864371739484494,0.08073672662020628,BiLSTM
S93,0.19469261864031565,0.19033766291161938,0.5147830624635973,0.10018665598446763,BiLSTM
S94,0.3701305868731024,0.34667539019018945,0.2021643932643771,0.08102962967233118,1D-CNN
S95,0.4933715156222581,0.2066246297037736,0.17184783149722843,0.12815602317673971,1D-CNN
S96,0.4774926724790704,0.27932668605757616,0.13159881442490945,0.11158182703844421,1D-CNN
