Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S2042,0.14644907700679308,0.20920612602774566,0.3918455469871618,0.13066766940580268,0.10468722211882721,0.017144358453670093,BiLSTM
S2043,0.2252408538988595,0.4182723510684029,0.1914765229999739,0.0639380727467214,0.07448104578722413,0.026591153498819558,LSTM
S2044,0.24657523632913889,0.174696330054749,0.20041846914403727,0.10977687451442047,0.182135704807236,0.08639738515041766,1D-CNN
S2045,0.4025130381793946,0.11535741678949986,0.12741466164949766,0.13725411433445145,0.19912897086499576,0.018331798182162604,1D-CNN
S2046,0.3359902017711897,0.12750453201473294,0.10207786093022958,0.26536578238416547,0.1425094369299079,0.026552185969774923,1D-CNN
S2047,0.09528181964509598,0.2530571403837175,0.15405326812167702,0.38140503452590163,0.09688835691775038,0.019314380405857475,CNN-LSTM
S2048,0.11267185152362706,0.2921233067670053,0.24681242846136484,0.24678094139801962,0.08172910319223642,0.019882368657746667,LSTM
S2049,0.1709861416354903,0.18676456734170033,0.24218263733792472,0.1939223351408669,0.1715245561385882,0.03461976240543108,BiLSTM
S2050,0.17647078194067023,0.15937130725416424,0.1981419491493613,0.19106756110226916,0.24409302294249927,0.030855377611035392,GRU
S2051,0.14427001847420737,0.1815960538601448,0.18092397192994683,0.19080117758826365,0.2792501469043679,0.023158631243070403,GRU
S2052,0.11775602237051544,0.21564896631565458,0.20110414826722842,0.19098277750012366,0.2575202034035186,0.016987882142960035,GRU
S2053,0.11110624215172356,0.25251748681792896,0.21037490535261022,0.18675744267104544,0.2228989317775486,0.016344991229143336,LSTM
S2054,0.18164228998677512,0.23313652266550286,0.18566017555471065,0.17011298030888888,0.2059264994515495,0.023521532032572283,LSTM
S2055,0.25957995051576654,0.1548515095756579,0.1517793408236993,0.14385945088328728,0.23413943092295678,0.05579031727863276,1D-CNN
S2056,0.3276434837247989,0.09153719171392756,0.10625263404996499,0.11365167749779535,0.32002697410628206,0.04088803890723154,1D-CNN
S2057,0.2555877455356229,0.042976137384666296,0.05433107820091694,0.0720816824431168,0.555941424757557,0.019081931678121455,GRU
S2058,0.28234688760274895,0.09306747848361738,0.13019400929484573,0.20312683525144998,0.23134601385653525,0.059918775510802554,1D-CNN
S2059,0.20459915623778818,0.24115934368933445,0.21121989963501395,0.20314799479415907,0.103742271741145,0.03613133390255958,LSTM
S2060,0.22166848688419669,0.24909081438073225,0.1968511593995141,0.17724928176639207,0.10882632973636236,0.046313927832802075,LSTM
S2061,0.26675819705799136,0.19163748959784307,0.19365301739735136,0.1832000314501877,0.11825200515456456,0.046499259342062615,1D-CNN
S2062,0.290908958318735,0.17233095553386768,0.16758864609342441,0.18242751513022246,0.13413096157489873,0.05261296334885081,1D-CNN
S2063,0.3522026064340811,0.15605706598952457,0.14926487799056998,0.16954934251734638,0.12716185012664302,0.045764256941834405,1D-CNN
S2064,0.38277564523242974,0.12753850462676886,0.1315151736551775,0.15178043861274812,0.13597064959702954,0.07041958827584585,1D-CNN
S2065,0.0024196187284847106,0.032030647050612114,0.09876638673161695,0.12370937758308838,0.7428667063145599,0.00020726359163526,GRU
S2066,0.3173182890250529,0.11285497848610125,0.1345962689538808,0.24506256309631122,0.166484687839329,0.02368321259932439,1D-CNN
S2067,0.03601824190973956,0.1282191276014995,0.10062861426203105,0.6043194557021232,0.12018610065573099,0.010628459868874267,CNN-LSTM
S2068,0.11554131639675516,0.15525828642182402,0.18863179586903062,0.38791580083455957,0.13136152878428486,0.021291271693546717,CNN-LSTM
S2069,0.18747941240354563,0.17019437783312563,0.17845543649586224,0.2951425993773639,0.14843543688863856,0.02029273700146404,CNN-LSTM
S2070,0.2081081088844389,0.18624724451971084,0.173945676698436,0.2597497272958072,0.1525954057787504,0.019353836822854454,CNN-LSTM
S2071,0.16005093608581242,0.22080993346236427,0.20792879469112677,0.2588776793977592,0.13162375512092475,0.020708901242013904,CNN-LSTM
S2072,0.18267455773037922,0.20320244905542229,0.20008031124455766,0.21844988844790317,0.15383838334498684,0.04175441017675133,CNN-LSTM
S2073,0.2304840410964045,0.16581294089069065,0.18738816653166568,0.16987495337944353,0.20453692675612367,0.04190297134567134,1D-CNN
S2074,0.18051581027011818,0.181360317117863,0.19727632123954617,0.17692974270744197,0.22958801722389913,0.034329791441132074,GRU
S2075,0.10247385344711404,0.2478018837289618,0.20431904916661772,0.1926610574012099,0.23567285346938668,0.01707130278671064,LSTM
S2076,0.1413370401489951,0.2399194173609544,0.2099260143375386,0.17561001924945396,0.20975216645434155,0.02345534244871606,LSTM
S2077,0.22521963073129994,0.20792759199136826,0.1861904907873993,0.16177574824610155,0.19270717833761714,0.02617935990621693,1D-CNN
S2078,0.1957875016322059,0.19990590139641484,0.18610139503971657,0.17097498159577623,0.2160918308429183,0.031138389492966854,GRU
S2079,0.28497300256421587,0.1249603889167765,0.13872615432669574,0.13623916857120547,0.25680832289469757,0.05829296272640856,1D-CNN
S2080,0.4323864212613545,0.055508612832390086,0.07064895584835895,0.08514580770196119,0.3225141778015657,0.03379602455436962,1D-CNN
S2081,0.33595394334188267,0.06866570181593278,0.10540579748950293,0.17419350032833542,0.2799764717609264,0.035804585263420625,1D-CNN
S2082,0.20349467831419812,0.07143677688274859,0.13076879923688786,0.5006555420404317,0.0633494869434154,0.03029471658231912,CNN-LSTM
S2083,0.435249938424711,0.1657655272263136,0.1370849556637219,0.17533255194361305,0.05735658883192399,0.02921043790971654,1D-CNN
S2084,0.35928364497599413,0.2526359678306208,0.16991281673031983,0.13023507701476342,0.052120566106356916,0.03581192734194463,1D-CNN
S2085,0.5558378442326949,0.10984347875634701,0.1316636483821612,0.10678661447317865,0.05814057646805799,0.037727837687560904,1D-CNN
S2086,0.32612314035909024,0.14347257886867876,0.16751057077863507,0.2105072366149012,0.11731281875458774,0.03507365462410742,1D-CNN
S2087,0.370328085380341,0.12862142587036457,0.13341798831804672,0.18513777373788348,0.10973119367725258,0.07276353301611287,1D-CNN
S2088,0.3834478009974069,0.13606668464161303,0.12965840854069113,0.18757422649475688,0.11328390194622769,0.049968977379304495,1D-CNN
S2089,0.3630303860415826,0.14324424969953062,0.12531976810883022,0.1984788243702159,0.1344318451172099,0.035494926662630266,1D-CNN
S2090,0.1953811828440698,0.19070161094004792,0.16356919656303084,0.2751507310231792,0.15495557891032713,0.02024169971934452,CNN-LSTM
S2091,0.21744452004333045,0.17662887404543853,0.16411323939643901,0.24044769938292862,0.17550226682454986,0.025863400307312864,CNN-LSTM
S2092,0.2653772498965116,0.14810248816850136,0.16185017043365468,0.2214683045140499,0.1776114909249598,0.025590296062322427,1D-CNN
S2093,0.20074656861643972,0.1843755343979685,0.19060791348155043,0.18515728291790604,0.21329838548426036,0.025814315101873292,GRU
S2094,0.20742150609947108,0.18068292920298148,0.17747638286108205,0.2199256791975922,0.18854411287879683,0.025949389760075908,CNN-LSTM
S2095,0.18120721745443202,0.205246880156119,0.18447232524209023,0.226632961605395,0.18005145287769425,0.022389162664269744,CNN-LSTM
S2096,0.187979549329883,0.1700467957735533,0.2158632506884788,0.20221938316080024,0.1864434890556943,0.037447531991589685,BiLSTM
S2097,0.20658610405657396,0.178993711371115,0.19657740932437093,0.1800338326000057,0.2137668763390436,0.024042066308890928,GRU
S2098,0.2030990859776627,0.20520875110554912,0.17836929829427878,0.1808555419844975,0.20623752715014715,0.026229795487863666,GRU
S2099,0.1007984136045023,0.2863657937267033,0.2315644839891148,0.21394216082874715,0.1567560792427095,0.010573068608222332,LSTM
S2100,0.15886761529702176,0.20900105287889895,0.22705358480851595,0.1685430431167603,0.2320813214861815,0.004453382412620897,GRU
S2101,0.07742758041095672,0.3301592252442584,0.21562509751333309,0.17939817780398748,0.18594265444206454,0.011447264585399346,LSTM
S2102,0.44178767487380294,0.16483503054851592,0.1252934646167753,0.10769362519506777,0.13854379252186333,0.021846412243975002,1D-CNN
S2103,0.2556448840300994,0.16082240780002238,0.1531163664623622,0.15837776888051702,0.23861051348694712,0.03342805934005161,1D-CNN
S2104,0.28645432592691367,0.17204149127593812,0.15933854618470364,0.1846468912699444,0.17030625472478006,0.027212490617721144,1D-CNN
S2105,0.19600991028711512,0.21367083387439043,0.20410494608144938,0.20679395273643006,0.15285442511193348,0.026565931908681773,LSTM
